onset	duration	sample	trial_type	stim_file	value	event_code
49822.745720	0.000000	0	"speech"	"n/a"	4	"DAF_Off_cmd"
49822.755508	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
49822.768251	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=0"
49822.775704	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49825.370475	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=0)"
49825.381223	0.000000	0	"speech"	"The teacher tapped the table twice before telling the students to settle down."	32770	"Visual Onset"
49835.391215	0.000000	0	"speech"	"n/a"	4	"DAF_Off_cmd"
49835.406103	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
49835.420007	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=100"
49835.429951	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49848.033389	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=100)"
49848.044879	0.000000	0	"speech"	"The mechanic struggled to loosen the stubborn bolt beneath the frozen metal frame."	32770	"Visual Onset"
49858.051931	0.000000	0	"speech"	"n/a"	4	"DAF_Off_cmd"
49858.064660	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
49858.075611	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=0"
49858.082785	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49921.644356	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=0)"
49921.655206	0.000000	0	"speech"	"The doctor tightened his gloves and leaned closer to examine the patientÕs throat."	32770	"Visual Onset"
